モニタ,日付,購入数量,単価,金額,大分類,中分類,小分類,細分類,性別,年代,未既婚,大分類名,中分類名,小分類名,細分類名
15,20130715,1,118,118,1,14,1403,140397,2,10,3,食品,飲料・酒類,清涼飲料,その他清涼飲料
15,20130715,1,128,128,1,11,1107,110707,2,10,3,食品,加工食品,冷凍食品,冷凍調理
15,20130715,1,140,140,2,24,2404,240413,2,10,3,日用品,家庭用品,台所用品,キッチンペーパー
15,20130715,1,78,78,1,12,1203,120397,2,10,3,食品,生鮮食品,農産,その他農産
15,20130715,2,83,166,2,26,2622,262201,2,10,3,日用品,ペット用品,猫,猫フード
15,20130715,1,128,128,1,11,1107,110707,2,10,3,食品,加工食品,冷凍食品,冷凍調理
15,20130715,1,228,228,1,13,1302,130205,2,10,3,食品,菓子類,デザート・ヨーグルト,ヨーグルト
15,20130715,1,83,83,2,26,2622,262201,2,10,3,日用品,ペット用品,猫,猫フード
15,20130715,1,128,128,1,11,1107,110707,2,10,3,食品,加工食品,冷凍食品,冷凍調理
15,20130715,1,98,98,1,14,1403,140307,2,10,3,食品,飲料・酒類,清涼飲料,コーヒードリンク
15,20130715,1,83,83,2,26,2622,262201,2,10,3,日用品,ペット用品,猫,猫フード
15,20130715,1,398,398,1,14,1401,140101,2,10,3,食品,飲料・酒類,嗜好飲料,インスタントコーヒー
15,20130715,1,128,128,1,11,1107,110707,2,10,3,食品,加工食品,冷凍食品,冷凍調理
15,20130715,2,83,166,2,26,2622,262201,2,10,3,日用品,ペット用品,猫,猫フード
15,20130715,1,83,83,2,26,2622,262201,2,10,3,日用品,ペット用品,猫,猫フード
15,20130715,3,83,249,2,26,2622,262201,2,10,3,日用品,ペット用品,猫,猫フード
15,20130715,1,200,200,1,11,1119,111997,2,10,3,食品,加工食品,惣菜類,その他惣菜
15,20130715,1,150,150,2,21,2129,212905,2,10,3,日用品,日用雑貨,住居用洗剤類,バス用洗剤
15,20130715,1,128,128,1,11,1107,110707,2,10,3,食品,加工食品,冷凍食品,冷凍調理
20,20130223,1,98,98,1,13,1302,130205,2,9,2,食品,菓子類,デザート・ヨーグルト,ヨーグルト
20,20130427,1,178,178,1,12,1202,120297,2,9,2,食品,生鮮食品,畜産,その他畜産
20,20130427,1,1140,1140,1,14,1406,140641,2,9,2,食品,飲料・酒類,アルコール飲料,ビール
20,20130427,1,68,68,1,14,1402,140209,2,9,2,食品,飲料・酒類,果実飲料,野菜ジュース
20,20130428,1,178,178,3,31,3104,310405,2,9,2,文化用品,文具・事務用品・情報文具,筆記用具類,ボールペン
20,20130223,1,138,138,1,13,1302,130205,2,9,2,食品,菓子類,デザート・ヨーグルト,ヨーグルト
20,20130210,1,298,298,1,11,1105,110511,2,9,2,食品,加工食品,調理品,米飯加工品
20,20130525,1,298,298,1,11,1112,111201,2,9,2,食品,加工食品,麺類,インスタント袋麺
20,20130427,1,68,68,1,14,1402,140201,2,9,2,食品,飲料・酒類,果実飲料,果汁１００％飲料
20,20130525,1,125,125,1,11,1104,110413,2,9,2,食品,加工食品,乳製品,フレッシュクリーム
20,20130525,1,512,512,1,11,1119,111997,2,9,2,食品,加工食品,惣菜類,その他惣菜
20,20131130,3,294,882,2,24,2406,240607,2,9,2,日用品,家庭用品,食卓用品,ナイフ・フォーク・スプーン
20,20130428,1,128,128,3,31,3104,310413,2,9,2,文化用品,文具・事務用品・情報文具,筆記用具類,修正液
20,20130428,1,125,125,3,31,3104,310405,2,9,2,文化用品,文具・事務用品・情報文具,筆記用具類,ボールペン
20,20131130,1,248,248,2,24,2406,240607,2,9,2,日用品,家庭用品,食卓用品,ナイフ・フォーク・スプーン
20,20130210,1,398,398,1,14,1401,140103,2,9,2,食品,飲料・酒類,嗜好飲料,レギュラーコーヒー
20,20130427,1,68,68,1,14,1402,140201,2,9,2,食品,飲料・酒類,果実飲料,果汁１００％飲料
20,20130526,3,398,1194,1,11,1104,110407,2,9,2,食品,加工食品,乳製品,インスタントクリームパウダー
20,20130427,1,68,68,1,14,1402,140209,2,9,2,食品,飲料・酒類,果実飲料,野菜ジュース
20,20130223,1,168,168,1,13,1301,130123,2,9,2,食品,菓子類,菓子,チョコレ?ト
20,20130223,3,68,204,1,14,1403,140313,2,9,2,食品,飲料・酒類,清涼飲料,日本茶・麦茶ドリンク
20,20131014,1,98,98,1,13,1302,130203,2,9,2,食品,菓子類,デザート・ヨーグルト,デザート類
20,20130223,1,168,168,1,13,1301,130123,2,9,2,食品,菓子類,菓子,チョコレ?ト
20,20130210,1,298,298,1,11,1101,110143,2,9,2,食品,加工食品,調味料,つゆ
20,20130210,2,98,196,1,13,1301,130137,2,9,2,食品,菓子類,菓子,生菓子
21,20130223,1,105,105,1,11,1105,110515,2,8,2,食品,加工食品,調理品,ふりかけ
21,20130223,1,1030,1030,1,11,1114,111401,2,8,2,食品,加工食品,穀物,米
21,20130223,1,298,298,1,11,1119,111901,2,8,2,食品,加工食品,惣菜類,サラダ
21,20130223,2,258,516,1,11,1105,110509,2,8,2,食品,加工食品,調理品,まぜ御飯の素
31,20131207,1,108,108,1,11,1112,111203,2,5,2,食品,加工食品,麺類,カップ麺
31,20131207,1,108,108,1,11,1112,111203,2,5,2,食品,加工食品,麺類,カップ麺
32,20130208,1,328,328,1,11,1104,110401,1,10,2,食品,加工食品,乳製品,バター
32,20130831,1,298,298,1,11,1112,111201,1,10,2,食品,加工食品,麺類,インスタント袋麺
32,20130208,1,218,218,1,13,1301,130137,1,10,2,食品,菓子類,菓子,生菓子
32,20130820,2,88,176,1,13,1304,130497,1,10,2,食品,菓子類,アイスクリーム類,パーソナルアイスその他
32,20130208,1,69,69,1,13,1302,130203,1,10,2,食品,菓子類,デザート・ヨーグルト,デザート類
32,20130831,1,148,148,1,14,1406,140681,1,10,2,食品,飲料・酒類,アルコール飲料,リキュール類
32,20130112,1,248,248,1,11,1101,110135,1,10,2,食品,加工食品,調味料,その他のたれ
32,20130820,1,168,168,1,13,1302,130203,1,10,2,食品,菓子類,デザート・ヨーグルト,デザート類
32,20130112,1,348,348,1,11,1102,110203,1,10,2,食品,加工食品,食用油,ゴマ油
32,20130108,1,128,128,1,11,1107,110721,1,10,2,食品,加工食品,冷凍食品,冷凍ピザ・グラタン類
32,20130208,2,118,236,1,13,1301,130139,1,10,2,食品,菓子類,菓子,半生菓子
32,20130112,1,158,158,1,14,1406,140681,1,10,2,食品,飲料・酒類,アルコール飲料,リキュール類
32,20130119,1,148,148,1,14,1406,140681,1,10,2,食品,飲料・酒類,アルコール飲料,リキュール類
32,20130513,1,148,148,1,14,1406,140681,1,10,2,食品,飲料・酒類,アルコール飲料,リキュール類
32,20130820,1,98,98,1,11,1113,111303,1,10,2,食品,加工食品,パン・シリアル類,菓子パン
32,20130820,1,298,298,1,11,1104,110415,1,10,2,食品,加工食品,乳製品,ホイップクリーム
32,20130108,1,168,168,1,13,1301,130123,1,10,2,食品,菓子類,菓子,チョコレ?ト
32,20130115,1,88,88,1,11,1108,110801,1,10,2,食品,加工食品,缶詰,水産缶詰（マグロ・カツオ以外）
32,20130115,2,156,312,1,13,1302,130203,1,10,2,食品,菓子類,デザート・ヨーグルト,デザート類
32,20131014,1,100,100,1,11,1105,110503,1,10,2,食品,加工食品,調理品,インスタントシチュー
32,20130112,1,607,607,1,14,1406,140681,1,10,2,食品,飲料・酒類,アルコール飲料,リキュール類
32,20130119,1,607,607,1,14,1406,140681,1,10,2,食品,飲料・酒類,アルコール飲料,リキュール類
32,20130513,1,608,608,1,14,1406,140681,1,10,2,食品,飲料・酒類,アルコール飲料,リキュール類
32,20130208,1,298,298,1,11,1115,111503,1,10,2,食品,加工食品,加工肉類,畜肉ソーセージ
32,20130115,2,65,130,1,11,1118,111807,1,10,2,食品,加工食品,水物,納豆
32,20130831,1,298,298,1,11,1112,111201,1,10,2,食品,加工食品,麺類,インスタント袋麺
32,20130820,1,128,128,1,11,1101,110111,1,10,2,食品,加工食品,調味料,食酢
32,20130108,2,298,596,1,14,1401,140109,1,10,2,食品,飲料・酒類,嗜好飲料,日本茶
32,20130820,1,98,98,1,11,1113,111303,1,10,2,食品,加工食品,パン・シリアル類,菓子パン
32,20130513,1,228,228,1,11,1112,111203,1,10,2,食品,加工食品,麺類,カップ麺
32,20130208,1,98,98,1,13,1301,130131,1,10,2,食品,菓子類,菓子,スナック
32,20130831,1,268,268,1,14,1406,140641,1,10,2,食品,飲料・酒類,アルコール飲料,ビール
32,20130108,1,98,98,1,11,1118,111805,1,10,2,食品,加工食品,水物,油揚げ
32,20130513,1,208,208,1,14,1406,140641,1,10,2,食品,飲料・酒類,アルコール飲料,ビール
32,20130108,1,98,98,1,11,1118,111801,1,10,2,食品,加工食品,水物,豆腐
32,20130820,1,98,98,1,11,1113,111303,1,10,2,食品,加工食品,パン・シリアル類,菓子パン
32,20130208,1,198,198,1,13,1301,130129,1,10,2,食品,菓子類,菓子,米菓
32,20130208,1,98,98,1,12,1203,120397,1,10,2,食品,生鮮食品,農産,その他農産
32,20131014,1,100,100,1,11,1105,110503,1,10,2,食品,加工食品,調理品,インスタントシチュー
37,20131220,1,112,112,1,13,1301,130125,1,6,2,食品,菓子類,菓子,チュ?インガム
37,20131122,1,178,178,1,11,1112,111207,1,6,2,食品,加工食品,麺類,生麺・ゆで麺
