モニタ,健康食品購入有無,菓子,清涼飲料,パン・シリアル類,農産,水物,麺類,デザート・ヨーグルト,乳飲料,調味料,冷凍食品,惣菜類,アルコール飲料,調理品,果実飲料
13,1,0.191605839,0.082116788,0.031021898,0,0.065693431,0.093065693,0.023722628,0.025547445,0.040145985,0.080291971,0.009124088,0.047445255,0.056569343,0.016423358
14,1,0.202192448,0.141291108,0.168696711,0.069427527,0.031668697,0.010962241,0.097442144,0.037758831,0.024969549,0.004872107,0.011571255,0.000609013,0.015225335,0.078562728
15,0,0.205387205,0.148148148,0.181818182,0.03030303,0.013468013,0.01010101,0.050505051,0.006734007,0.016835017,0.178451178,0.016835017,0,0.016835017,0.04040404
16,1,0.162081041,0.069034517,0.059529765,0.137068534,0.075037519,0.045022511,0.032016008,0.042021011,0.037518759,0.044022011,0.022511256,0.065532766,0.007503752,0.007503752
18,0,0,0.25,0,0,0.75,0,0,0,0,0,0,0,0,0
20,1,0.243871513,0.099746407,0.100591716,0.034234996,0.033812342,0.069737954,0.033389687,0.019019442,0.03465765,0.026204565,0.023668639,0.004649197,0.023245985,0.028317836
21,0,0.05,0.4,0,0,0,0,0.05,0,0.05,0,0.05,0,0.15,0.05
22,1,0.194008559,0.118402282,0.10128388,0.07489301,0.04636234,0.061340942,0.002853067,0.004992867,0.037803138,0.044935806,0.054921541,0.02425107,0.027104137,0.0021398
23,0,0.25,0.166666667,0.083333333,0,0,0,0.166666667,0,0,0,0,0,0.083333333,0.166666667
24,1,0.105116279,0.049302326,0.04372093,0.095813953,0.064186047,0.04744186,0.066976744,0.082790698,0.030697674,0.051162791,0.029767442,0.079069767,0.017674419,0.011162791
25,0,0.146516393,0.011270492,0.073770492,0.115778689,0.049180328,0.049180328,0.040983607,0.056352459,0.039959016,0.023565574,0.026639344,0.011270492,0.031762295,0.011270492
26,0,0.044880785,0.678821879,0.028050491,0.023842917,0.008415147,0.078541374,0.002805049,0.007012623,0.022440393,0,0.06171108,0,0,0.009817672
28,1,0.149496263,0.013649659,0.057848554,0.145271368,0.079948001,0.042248944,0.010724732,0.063373416,0.033149171,0.081247969,0.025674358,0.001949951,0.055248619,0.021774456
29,0,0.034578696,0.000794913,0.143481717,0.06200318,0.140699523,0.083863275,0.213036566,0.023052464,0.011128776,0.005961844,0.094197138,0,0.055643879,0
31,1,0.173258004,0.101694915,0.047080979,0.028248588,0.026365348,0.220338983,0.013182674,0.054613936,0.026365348,0.005649718,0.020715631,0.001883239,0.094161959,0.037664783
32,1,0.063752277,0.047358834,0.14571949,0.088342441,0.079234973,0.029143898,0.055555556,0.0428051,0.058287796,0.016393443,0.051912568,0.078324226,0.030054645,0.0428051
33,1,0.197598253,0.019650655,0.058951965,0.027292576,0.029475983,0.033842795,0.012008734,0.084061135,0.02510917,0.030567686,0.057860262,0,0.156113537,0
34,1,0.141783029,0.026852846,0.076262084,0.051557465,0.13104189,0.068743287,0.017185822,0.016111708,0.052631579,0.022556391,0.045112782,0.018259936,0.070891515,0.050483351
35,0,0.060869565,0.045962733,0.058385093,0.127950311,0.108074534,0.026086957,0.036024845,0.047204969,0.064596273,0.027329193,0.017391304,0.057142857,0.02484472,0.036024845
37,0,0.120674357,0.090505768,0.120674357,0,0.035492458,0.05501331,0.028393966,0.023957409,0.046140195,0.148181012,0.032830524,0.003549246,0.036379769,0.019520852
38,0,0.077274616,0.050685501,0.248026589,0.096800997,0.022434566,0.050685501,0.032820939,0.05151641,0.049023681,0.021188201,0.065641878,0.022019111,0.046530951,0.011632738
41,1,0.245338567,0.012757605,0.032384691,0.091265947,0.058881256,0.044160942,0.005888126,0.001962709,0.089303238,0.085377821,0.037291462,0.018645731,0.035328754,0.02747792
42,0,0.155660377,0.080188679,0.146226415,0.056603774,0.04245283,0.014150943,0.099056604,0.014150943,0.033018868,0.014150943,0.075471698,0.023584906,0.023584906,0.014150943
43,1,0.179334917,0.137767221,0.042755344,0.007125891,0.067695962,0.023752969,0.073634204,0.03087886,0.027315914,0.034441805,0.041567696,0.005938242,0.011876485,0.021377672
45,1,0.075986566,0.072628044,0.080184719,0.167506297,0.097397145,0.06759026,0.020570949,0.030646516,0.061293031,0.039882452,0.018471872,0.004617968,0.012594458,0.017212427
46,0,0.081702392,0.109972041,0.052190121,0.177073625,0.062441752,0.046287667,0.013668841,0.058713886,0.032929481,0.027958993,0.016154085,0.000931966,0.034482759,0.068344206
47,0,0.114285714,0.2,0.142857143,0.028571429,0.028571429,0,0,0,0.142857143,0,0.028571429,0,0,0.028571429
48,1,0.102413184,0.018834609,0.060623896,0.257210124,0.057680989,0.048263685,0.032371984,0.024131842,0.052383755,0.038257799,0.018834609,0.033549147,0.045320777,0.002942908
49,1,0.172355904,0.063234471,0.162842753,0.086737549,0.066592054,0.087297146,0.053161724,0.04029099,0.041969782,0.015109121,0.03469502,0.005036374,0.027420257,0.003357583
50,1,0.087378641,0.019417476,0.006934813,0.156726768,0.079056865,0.045769764,0.095700416,0.042995839,0.05963939,0.044382802,0.026352288,0.063800277,0.008321775,0
51,1,0.092242595,0.031875882,0.095345557,0.167842031,0.088575458,0.043441467,0.038363893,0.019181946,0.076727786,0.017771509,0.029055007,0.004231312,0.022002821,0.001410437
52,1,0.235515425,0.076749436,0.032355154,0.101580135,0.088036117,0.073739654,0.010534236,0.05116629,0.042889391,0.000752445,0.017306245,0.017306245,0.021068473,0.018058691
53,1,0.142653352,0.161911555,0.327389444,0.008559201,0.002853067,0.004992867,0.037803138,0.021398003,0.006419401,0.047788873,0.014978602,0.003566334,0.006419401,0.062767475
54,0,0.108240535,0.024498886,0.034743875,0.105567929,0.083741648,0.062806236,0.020044543,0.00311804,0.074832962,0.015144766,0.084632517,0.020044543,0.040534521,0.003563474
56,1,0.075322514,0.106949646,0.126092385,0.077403246,0.055763629,0.036204744,0.124843945,0.065334998,0.039533916,0.054099043,0.045776113,0,0.025384935,0.014565127
57,1,0.090114943,0.044597701,0.044137931,0.143448276,0.04183908,0.03908046,0.114482759,0.074022989,0.043678161,0.056091954,0.057011494,0.005977011,0.018390805,0.019310345
59,0,0.163473819,0.167305236,0.088548318,0.006385696,0.030651341,0.009365688,0.134951043,0.000425713,0.001277139,0.000425713,0.033205619,0.153682418,0.003831418,0.057045551
60,0,0,0,0.2,0,0,0.2,0,0.2,0,0.2,0.2,0,0,0
62,1,0.092278719,0.096045198,0.11393597,0.061205273,0.049905838,0.127118644,0.001883239,0.015065913,0.04519774,0.017890772,0.014124294,0.040489642,0.002824859,0.122410546
63,0,0.092017738,0.074279379,0.050997783,0.035476718,0.043237251,0.05210643,0.018847007,0.067627494,0.053215078,0.027716186,0.042128603,0.042128603,0.055432373,0.027716186
64,0,0.01,0.08,0.01,0.255,0.095,0.04,0.005,0.03,0.11,0.025,0.015,0.01,0.04,0.02
65,0,0.571428571,0.285714286,0.142857143,0,0,0,0,0,0,0,0,0,0,0
66,1,0.33982684,0.056277056,0.164502165,0.019480519,0.021645022,0.023809524,0.004329004,0.097402597,0.015151515,0.069264069,0.015151515,0.019480519,0.021645022,0.019480519
67,0,0.243835616,0.115981735,0.062100457,0.135159817,0.034703196,0.087671233,0.00456621,0.024657534,0.047488584,0.053881279,0.001826484,0.010958904,0.029223744,0.003652968
68,1,0.103615758,0.207231516,0.059363195,0.104155424,0.047490556,0.02698327,0.018348624,0.043173233,0.042093902,0.014031301,0.018888289,0.038855909,0.013491635,0.038316244
69,0,0.090909091,0.090909091,0.090909091,0.272727273,0,0,0,0,0.090909091,0,0.090909091,0,0.090909091,0
70,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
71,1,0.234211835,0.122824465,0.127299851,0.067130781,0.017901542,0.036300348,0.054699155,0.033814023,0.020885132,0.028344107,0.012431626,0.034311288,0.024365987,0.032322228
72,1,0.156830239,0.045092838,0.087533156,0.154177719,0.051061008,0.017572944,0.045424403,0.019562334,0.057692308,0.050729443,0.027188329,0.030503979,0.041445623,0.012267905
73,1,0.100840336,0.084033613,0.06442577,0.096171802,0.104575163,0.027077498,0.018674136,0.001867414,0.054154995,0.073762838,0.070961718,0.000933707,0.022408964,0.001867414
74,0,0.125,0.5,0.125,0,0,0,0.125,0,0,0,0,0,0,0
75,1,0.117341641,0.088785047,0.075804777,0.191069574,0.015576324,0.036863967,0.070093458,0.041017653,0.059709242,0.014018692,0.023364486,0.04569055,0.021806854,0.025441329
78,0,0.125312032,0.032451323,0.117324014,0.12880679,0.086370444,0.029455816,0.016475287,0.061907139,0.031452821,0.009485771,0.039440839,0.024962556,0.033449825,0.014977534
79,1,0.168094218,0.047109208,0.011777302,0.03640257,0.06745182,0.265524625,0.051391863,0.001070664,0.027837259,0.010706638,0.055674518,0.047109208,0.020342612,0.007494647
80,1,0.092331768,0.135367762,0.028169014,0.057120501,0.038341158,0.093114241,0.061815336,0.021909233,0.022691706,0.00312989,0.015649452,0.129107981,0.007042254,0.004694836
