モニタ,購入数,購入の有無,性別,年代,未既婚,乳幼児有無,小学生有無,中高生有無,大人有無,老人有無
13,19,1,1,5,1,0,0,0,1,1
14,10,1,2,11,3,0,0,0,0,1
15,0,0,2,10,3,0,0,0,1,0
16,5,1,2,11,2,0,0,0,1,1
18,0,0,1,11,2,0,0,0,0,1
20,20,1,2,9,2,0,1,1,1,0
21,0,0,2,8,2,0,0,0,1,0
22,1,1,2,8,2,0,0,1,1,0
23,0,0,2,9,2,0,0,0,1,0
24,81,1,2,11,3,0,0,0,1,1
25,0,0,1,6,2,1,1,0,1,0
26,0,0,1,8,1,0,0,0,1,0
28,9,1,2,8,2,0,0,1,1,0
29,0,0,2,11,2,0,0,1,1,1
31,3,1,2,10,2,1,0,0,1,0
32,4,1,2,10,2,0,0,1,1,0
33,4,1,1,11,3,0,0,0,1,1
34,11,1,2,10,2,0,0,1,1,1
35,0,0,2,10,2,0,0,0,1,0
37,0,0,1,6,2,0,0,0,1,0
38,0,0,1,10,2,0,0,0,1,1
41,6,1,1,11,2,0,0,0,1,1
42,0,0,2,11,2,1,0,1,1,1
43,2,1,2,9,3,0,1,0,1,0
45,2,1,2,5,2,1,0,0,1,0
46,0,0,2,11,2,0,1,0,1,1
47,0,0,2,11,2,0,0,0,1,1
48,4,1,2,7,2,0,1,0,1,0
49,6,1,2,7,1,0,0,1,1,1
50,5,1,2,9,2,0,0,0,1,0
51,14,1,1,10,1,0,0,0,1,1
52,15,1,2,11,2,0,0,0,1,1
53,84,1,1,11,2,0,0,0,1,0
54,0,0,2,11,2,0,0,0,1,1
56,13,1,1,3,1,0,0,0,1,0
57,13,1,2,11,2,1,0,0,1,1
59,0,0,1,10,1,0,0,0,1,0
60,0,0,2,11,2,0,0,0,1,1
62,3,1,1,9,2,0,0,1,1,0
63,0,0,2,8,2,0,0,1,1,0
64,0,0,1,11,2,0,0,0,0,1
65,0,0,2,9,2,0,0,0,1,1
66,3,1,2,10,2,0,0,0,1,1
67,0,0,1,4,2,0,0,0,1,0
68,46,1,1,8,2,0,0,1,1,1
69,0,0,2,11,2,0,0,0,1,1
70,0,0,1,7,2,0,0,0,1,0
71,10,1,2,7,2,1,1,1,1,0
72,7,1,2,10,2,0,0,1,1,0
73,1,1,1,11,3,0,0,0,0,1
74,0,0,2,6,2,0,1,0,1,0
75,13,1,2,10,2,0,0,0,1,1
78,0,0,2,11,2,0,0,0,1,1
79,2,1,1,9,2,0,0,0,1,0
80,4,1,1,11,2,0,0,0,0,1
81,0,0,1,11,2,0,0,0,0,1
82,1,1,2,6,2,1,0,0,1,0
83,0,0,2,7,2,0,1,0,1,0
84,0,0,2,11,1,0,0,0,1,1
86,11,1,2,11,2,0,0,0,1,1
87,2,1,2,11,2,0,0,0,1,1
88,0,0,2,8,2,0,1,0,1,1
89,0,0,2,10,2,0,0,0,1,1
90,30,1,2,10,2,0,0,1,1,0
91,0,0,1,8,2,0,0,1,1,0
93,5,1,2,4,1,0,0,0,1,0
95,0,0,2,9,3,0,0,1,1,0
96,9,1,2,9,3,1,1,0,1,0
97,1,1,2,11,2,0,0,0,1,1
98,20,1,2,11,2,0,0,0,1,1
99,0,0,2,10,2,0,0,0,1,0
103,3,1,2,6,2,1,1,0,1,0
105,0,0,2,11,2,0,0,0,1,1
106,0,0,2,11,2,0,0,0,0,1
107,0,0,2,8,2,1,0,0,1,0
111,24,1,2,11,2,0,0,0,1,1
115,0,0,2,11,3,0,0,0,0,1
116,2,1,1,9,2,0,0,1,1,0
